wallet,block,side,price_usd,size_eth
0x501ef174b66883ba40f92e6fb24bfb49331d4d4c,50780104,BUY,2378.23995738,0.0000083738
0xe93685f3bba03016f02bd1828badd6195988d950,50780117,BUY,2378.23598189,0.0008537281
0x13b158cc1b1c086cedd42172b93823b82868c896,50780117,SELL,2375.81618688,0.2453010785
0x000000c557fa9a96d66cd6371abde62d879d0e61,50780119,SELL,2375.77317595,0.0099208069
0xb246505b741443e10c16a56c716e65914963438d,50780119,SELL,2375.77031449,0.0070586781
0x6dcf474f0317cb2460077dcfbd5033270a8418e7,50780120,SELL,2375.64644754,0.7279871901
0xd4afb8c68f85ad386be3af34cf9e1224b2d9109c,50780120,SELL,2375.48658417,0.2207114944
0x4b5c33c3c7a31bd108f5a99b64683b0056a62226,50780122,SELL,2375.44650706,0.0002946305
0x148d76655eca7bf698da5b72beeff9a9edd64224,50780123,BUY,2377.82723226,0.0040237734
0xa01263b4a6849516740e415620d646da0a034dab,50780124,SELL,2375.42090442,0.1765744497
0xfb5e5863564c25666a4ec9a05b815f9003b90dcf,50780127,SELL,2375.38894074,0.0127581107
0x5a3d6148a2afe9bc09a9c3dffec5c8563ba960fa,50780129,SELL,2375.38625707,0.0023072867
0x6bcb77fb4f85468f331fb1532ce48f3f98077c70,50780132,SELL,2375.38236364,0.0220000000
0xa28669d95a6339da0b0216ae1683ef6f9edc2720,50780137,BUY,2377.75749924,0.0090416235
0x4b5c33c3c7a31bd108f5a99b64683b0056a62226,50780149,SELL,2375.38169388,0.0001262955
0x8d47ba07ff9ccccf58c7e8810ee42c0dc8b8b123,50780162,BUY,2377.87537549,0.0000084264
0xd4436ca33ed1b8bf4a74b7347e2d9edf097ff79d,50780175,BUY,2377.76387968,0.0299020439
0xf2d1aff8a41cdef7e06c8443866124184c3ef527,50780175,BUY,2377.80013949,0.1851991396
0x83f3eb771147b5fe6a789ebd372e07ca3550a121,50780175,BUY,2377.87325345,0.2485964023
0xd14602c85a25a4e520441c47a97a2c9da63ae1be,50780175,BUY,2378.01487700,0.5915949192
0x6fc0ce28d7b077bd7ef13f63b4a8712b0aa759a9,50780177,BUY,2378.28683314,1.0215641083
0xf2d1aff8a41cdef7e06c8443866124184c3ef527,50780177,BUY,2378.49532247,0.2149476088
0xba2892966174e3f81388a564029ff48b66d62897,50780178,BUY,2378.56825646,0.2175928093
0xf2d1aff8a41cdef7e06c8443866124184c3ef527,50780178,BUY,2378.63280880,0.1651912946
0xf717fa62ed5e1ab827b1693b0d7770f8ea6ab09b,50780181,BUY,2378.67565715,0.0888732599
0x35e245bfe806f8481078ed0c4d866d43522f6693,50780201,SELL,2376.30892010,0.0002104545
0x88776fbd991c76aae24e12da906e47fc8be7aab2,50780227,BUY,2378.69073392,0.0008979608
0x0dfa768499c331acbd6df31887eca6f5860fbd6f,50780227,BUY,2378.69158010,0.0010353969
0x9972f4c1e53b5eeb9e2630a7dddb5d5bfbcac451,50780227,BUY,2378.69240305,0.0002990391
0x501ef174b66883ba40f92e6fb24bfb49331d4d4c,50780269,BUY,2378.69155618,0.0006195995
0x18fc43569c9d6bf1cea5b4a773463a1fba5f4077,50780270,SELL,2376.31170000,0.0100000000
0x35e245bfe806f8481078ed0c4d866d43522f6693,50780277,SELL,2376.30825432,0.0002103793
0x148d76655eca7bf698da5b72beeff9a9edd64224,50780278,BUY,2378.68948689,0.0077675506
0xbfc004b3b31946ed1144c8245e7eb86cc3e99c37,50780291,BUY,2378.71325195,0.1336864751
0xb16370a2f04f6d1018eaa3cd1f296815d3c46425,50780293,BUY,2378.74266804,0.0406571036
0x18fc43569c9d6bf1cea5b4a773463a1fba5f4077,50780304,SELL,2376.36960000,0.0100000000
0xf2d1aff8a41cdef7e06c8443866124184c3ef527,50780310,BUY,2378.73407446,0.3434180671
0x89b97f7c0841144a027700e8744146c997e1e652,50780326,SELL,2376.71167311,0.3591939875
0xa0d29855995e26907645b7e8d08a0590b74560fd,50780334,BUY,2379.04268669,0.0776740960
0xfe68082a448f17a3d1700957b9f63176cecd334e,50780343,BUY,2379.06164996,0.0001338486
0xf99fd62b06a800afd0241b89f46c7313e5b208f6,50780351,BUY,2379.05667671,0.0041893668
0xeb3d3edb509515be5c9491814f107db359bf6c57,50780380,SELL,2376.69129917,0.0000413466
0x2bd0d303861a9bef7a5a6596d8457c83b9d48b57,50780417,BUY,2379.39018539,0.2309648747
0x100bce1a32c0a9a17218d205ba8088167e0ea97b,50780418,BUY,2379.57623388,0.8703990574
0x5df1bc5ef8f26688704288b5567c90927774f2fa,50780448,BUY,2379.84221682,0.7105216417
0x3688b87e0aefc15f62eae1272edc11f7a761bf73,50780448,BUY,2380.06429385,0.6037453983
0xf2d1aff8a41cdef7e06c8443866124184c3ef527,50780449,BUY,2380.22329288,0.3197953689
0xf04a2505afb967a1b4f43304e17994e94bdc13a1,50780468,BUY,2380.41154957,0.4420500809
0x501ef174b66883ba40f92e6fb24bfb49331d4d4c,50780481,SELL,2378.53764321,0.0001513535
0x14adbc7ea094914aa9d9de96b7832915ffefe5f3,50780495,BUY,2538.38207819,0.0000000063
0xcf2b7c6bc98bfe0d6138a25a3b6162b51f75e05d,50780514,BUY,2381.13560467,1.2599030455
0xc0ffeefc90fa1d10dc11b15697b39eb60af4a4a9,50780519,BUY,2381.48230457,0.0000069990
0x6f05e366b6f0a6e2f06af9a209a047332bc9420f,50780537,BUY,2381.10903844,0.0001049931
0xf2d1aff8a41cdef7e06c8443866124184c3ef527,50780547,SELL,2378.46153065,0.4345720407
0xb1124d662e3b0e99fbbaae0b38b3425bdbd87651,50780552,SELL,2378.38823003,0.0018666553
0x3e0e212534f0b4c9d0bc4dc44cf735aac7c05b5f,50780556,BUY,2380.76840546,0.0019507798
0x0034a05dca91cb3234ef72456413746b70ca18c3,50780580,BUY,2380.77153125,0.0047791217
0x4e4995d4c89e85bcfa8f6edc9e60807cdc9c6b02,50780587,BUY,2380.77502336,0.1699477742
0xf2ba261efaf6265a2578411dd53e27186311ea0f,50780588,BUY,2380.86721641,0.3758822411
0xd5125dd532fab26a7bc1eb54046811be33b54bb1,50780591,BUY,2381.24683022,0.0335958452
0xd5125dd532fab26a7bc1eb54046811be33b54bb1,50780591,BUY,2381.25307390,0.0033595757
0xd5125dd532fab26a7bc1eb54046811be33b54bb1,50780591,BUY,2381.25647955,0.0167978546
0xd5125dd532fab26a7bc1eb54046811be33b54bb1,50780591,BUY,2381.25967234,0.0020997290
