wallet,block,side,price_usd,size_eth
0xc8df1a5953aa7f62a35ff1501e0c10eb3c33ebfe,25852135,SELL,2498.39543234,18.5892312837
0x6f0a91ef8adeb54db0e63be507747ab9a31d3926,25852136,SELL,2497.47563441,13.7443623410
0x5e2b6c6b2240d582995537d3fafdb556e4a3822f,25852137,SELL,2496.67579976,9.9924632078
0xfc3286c01001cb2661fd80048c72b8cdc9af870b,25852137,BUY,2498.91560862,0.9004457743
0xeab7366a09ce1a2cd7e114ee231055ef29599d32,25852139,BUY,2498.57778378,0.0001445110
0x766f696427d9ac7b76c65becbbf0517d628de000,25852140,BUY,2498.78032043,7.2035143917
0x81dc771e308c76c3e06f635abed7fb24830fb824,25852141,SELL,2496.39754445,3.1510389763
0x7bf30399dba8051c2bf191afe2cd07ea4e064625,25852142,SELL,2495.88840893,14.6753622005
0xc8df1a5953aa7f62a35ff1501e0c10eb3c33ebfe,25852156,BUY,2497.32713690,3.4786317350
0x8b2efb5293326e1766cb5d0855032f150a72b705,25852156,SELL,2494.90277588,0.9548767163
0x0beea0e1f3d79cb55633530e291336dab9a7d82d,25852157,BUY,2497.83325027,1.6549522846
0x25ad5d387fc26a7f13f0a9abef0d84a8e912b106,25852162,SELL,2495.27783757,3.6871371614
0xfeed4c53d827aebebed6066788065ea1027c7e70,25852193,BUY,2499.45477259,0.0004047487
0xfeed4c53d827aebebed6066788065ea1027c7e70,25852193,BUY,2499.45480717,0.0008094973
0x48b8470fd956b5778fded969cfa8e0fefd24c55e,25852195,SELL,2496.84799855,3.7830404067
0xba007fa8814b1e7654d8b5f1d77f3469704bd791,25852198,SELL,2496.73993242,0.0155655391
0x4938472b3cfd9b9dfda3d619b310d490862a11b7,25852199,SELL,2496.67662923,2.2129631340
0x81dc771e308c76c3e06f635abed7fb24830fb824,25852200,SELL,2496.52485863,3.1254181776
0xbc71ee1ab7ca072e72fb0d8f1297143a2b3c51da,25852200,SELL,2496.30637361,4.5604639452
0x313eae570849be78d85012d352f4cc62d400b9bd,25852264,BUY,2499.50451142,0.8001113372
0xccfdc55f3219a9cb5cce713f05c45e5ea3e7b22e,25852272,BUY,2499.48213516,0.0000634840
0x90a00d2500f975889c6a7083fc7ca99fb8909d99,25852283,BUY,2498.75939783,0.0000909815
0x1f1a22fa28081ce079f7a0a6ce4a28d75bf3fa24,25852285,SELL,2496.21359475,1.5497900000
0x3812d5442296baab9a1bd986363f122e74c606a3,25852285,BUY,2498.68122811,0.0000593837
